target,model,family,n_compare,n_train,cv_r2_mean,cv_r2_std,test_r2,test_rmse,test_mae,test_mape,fit_time_s,predict_us_per_sample
read_delay_ns,xgboost,boosting,15000,33374,0.9063217004111188,0.0030890461353429875,0.9386191847245218,2.310941326035191,1.166788634174992,15.387103092250898,16.2047,20.6086
read_delay_ns,hist_gbr,ensemble,15000,33374,0.9196796176148281,0.0024551694045761205,0.9353508000980603,2.3716695078939773,1.32828154916237,22.728738414192247,4.517,53.7523
read_delay_ns,random_forest,ensemble,15000,33374,0.8494915039036185,0.004193662726562981,0.8798775476580748,3.2328435485814735,1.7662989744184254,21.49801134330998,5.3592,24.0675
read_delay_ns,extra_trees,ensemble,15000,33374,0.8459168317655525,0.002685214714533526,0.8705343094666158,3.356216273114388,1.8397193037163309,23.420302002469615,2.5109,21.4543
read_delay_ns,poly2_ridge,linear,15000,33374,0.8294419282946708,0.004340142433346507,0.8316906552643274,3.826720186618885,2.5248760355505317,84.65657400620908,0.4378,5.0989
read_delay_ns,gpr,kernel,15000,2000,0.7990204126489073,0.0073611707510334535,0.8106761460264875,4.058590748547266,2.787722381158307,82.67164403573675,52.0685,136.6771
read_delay_ns,svr_rbf,kernel,15000,5000,0.8102077027445154,0.005736231499705539,0.8032197730007182,4.137741177806699,2.3917835215512238,51.82296648582775,4.6479,464.5677
read_delay_ns,ridge,linear,15000,33374,0.6327472759494739,0.005134034981004608,0.6305301850615822,5.669726038882073,4.25555735484105,161.55815181051432,0.0719,1.2034
read_delay_ns,elasticnet,linear,15000,33374,0.6326598193802642,0.005058280457253808,0.6302932167995343,5.671543954327128,4.255492425177452,161.7797078758022,21.8932,2.0523
read_delay_ns,knn,neighbour,15000,33374,0.5225551475676785,0.007825119009749765,0.553327230942312,6.234007655302727,4.075699336452274,74.9749977469303,0.1332,205.6524
read_margin_mv,mlp_deep,neural,15000,42491,0.9509894502418506,0.012158853845594246,0.9911760011991636,3.6745285466508832,1.1321578809678703,4.438547729783982,57.4854,2.3671
read_margin_mv,mlp,neural,15000,42491,0.9613862830069531,0.004524034278337223,0.9896559778042502,3.9784474625106787,1.6594685626909553,6.60894612507973,36.4871,2.2608
read_margin_mv,catboost,boosting,15000,42491,0.9335589904794933,0.004673442861251876,0.947266079938857,8.982845574543772,3.3864446514164426,17.621119615226377,6.5589,2.5689
read_margin_mv,hist_gbr,ensemble,15000,42491,0.9046422353224294,0.00826931874433028,0.9283031581327997,10.474153120549449,4.057298989276965,18.63411438664843,4.9778,53.0276
read_margin_mv,lightgbm,boosting,15000,42491,0.8915606690257704,0.011837235276207458,0.9282571656444157,10.477512090915967,3.6478435853483435,17.721896913990882,1.7255,5.9906
read_margin_mv,xgboost,boosting,15000,42491,0.8839391990634603,0.014705715284751416,0.9203647208311542,11.03879476369582,3.96741190114338,19.110473446940645,17.0524,21.7766
read_margin_mv,extra_trees,ensemble,15000,42491,0.8356843655804134,0.008539220981547236,0.8537784832733701,14.958035089615846,7.094321454089402,38.52172088303264,3.4382,22.4195
read_margin_mv,random_forest,ensemble,15000,42491,0.808018851315737,0.01371417291190196,0.8356032583607808,15.860450112122546,7.499894279511907,39.36211941385757,6.9879,17.4105
read_margin_mv,gpr,kernel,15000,2000,0.7372111107033245,0.01299249530832863,0.7185816369557098,20.751291051056906,10.57237371083193,39.31010857754093,58.0175,126.2493
read_margin_mv,poly2_ridge,linear,15000,42491,0.7473384529420761,0.01231328984323706,0.7178272741615921,20.779085124865727,9.720116109866145,34.718068373098646,0.3419,3.5755
read_margin_mv,knn,neighbour,15000,42491,0.6497471698134806,0.018484172362691235,0.664408999936291,22.660738446479296,11.614298738532698,42.97035942413054,0.0843,123.4905
read_margin_mv,svr_rbf,kernel,15000,5000,0.6925602145374778,0.02552252485883225,0.642025618079049,23.404258132032695,6.339400377073126,17.292341464186443,2.4089,450.2559
read_margin_mv,ridge,linear,15000,42491,0.6105624198240467,0.023536539707656033,0.5577280228975472,26.014388208937383,12.595765923323073,40.289098319945836,0.2018,1.7509
